iC=1 iDev=1;iC=1 iDev=1
Ch1 - Volts;Ch2 - Amps
5.7;1.46689E-05
5.6;1.36831E-05
5.5;1.27457E-05
5.4;1.1864E-05
5.3;1.10262E-05
5.2;1.02391E-05
5.1;9.4997E-06
5;8.8044E-06
4.9;8.12491E-06
4.8;7.53419E-06
4.7;6.96752E-06
4.6;6.30668E-06
4.5;5.86695E-06
4.4;5.42299E-06
4.3;5.00058E-06
4.2;4.60252E-06
4.1;4.22939E-06
4;3.88419E-06
3.9;3.55985E-06
3.8;3.26075E-06
3.7;2.98185E-06
3.6;2.72221E-06
3.5;2.48315E-06
3.4;2.26163E-06
3.3;2.05641E-06
3.2;1.86869E-06
3.1;1.69567E-06
3;1.53693E-06
2.9;1.39143E-06
2.8;1.25915E-06
2.7;1.10619E-06
2.6;1.01248E-06
2.5;9.1946E-07
2.40001;8.29806E-07
2.3;7.54996E-07
2.2;6.86224E-07
2.1;6.24125E-07
2;5.69361E-07
1.9;5.21684E-07
1.8;4.7991E-07
1.7;4.43319E-07
1.6;4.11726E-07
1.5;3.83976E-07
1.4;3.58306E-07
1.3;3.34654E-07
1.2;3.1289E-07
1.1;2.9275E-07
1;2.73393E-07
0.9;2.5479E-07
0.8;2.32234E-07
0.7;2.17505E-07
0.6;2.02077E-07
0.5;1.86907E-07
0.4;1.72285E-07
0.3;1.58675E-07
0.2;1.45765E-07
0.1;1.33483E-07
0;1.22195E-07
-0.1;1.12098E-07
-0.2;1.02704E-07
-0.3;9.4143E-08
-0.4;8.39923E-08
-0.5;7.70711E-08
-0.6;7.02563E-08
-0.7;6.32941E-08
-0.8;5.70746E-08
-0.9;5.12854E-08
-1;4.61901E-08
-1.1;4.03667E-08
-1.2;3.65044E-08
-1.3;3.23637E-08
-1.4;2.87513E-08
-1.5;2.55093E-08
-1.6;2.22525E-08
-1.7;1.9406E-08
-1.8;1.69942E-08
-1.9;1.48116E-08
-2;1.28347E-08
-2.1;1.10404E-08
-2.2;9.3435E-09
-2.3;7.7684E-09
-2.4;6.62261E-09
-2.5;5.50429E-09
-2.6;4.56431E-09
-2.7;3.71768E-09
-2.8;2.98382E-09
-2.9;2.37632E-09
-3;1.81021E-09
-3.1;1.39054E-09
-3.2;1.03424E-09
-3.3;7.5686E-10
-3.4;5.3843E-10
-3.5;3.7396E-10
-3.6;2.4414E-10
-3.7;1.5171E-10
-3.8;8.751E-11
-3.9;4.78E-11
-4;2.393E-11
-4.1;1.231E-11
-4.2;6.25E-12
-4.3;3.81E-12
-4.4;2.69E-12
-4.5;2.82E-12
-4.6;2.79E-12
-4.7;2.81E-12
-4.8;2.68E-12
-4.9;2.23E-12
-5;1.98E-12
-5.1;2.5E-12
-5.2;2.94E-12
-5.3;2.06E-12
-5.4;2.63E-12
-5.5;2.69E-12
-5.6;2.95E-12
-5.7;2.34E-12
-5.8;2.25E-12
-5.9;2.9E-12
-6;2.74E-12
-6.1;2.84E-12
-6.2;2.41E-12
-6.3;2.45E-12
-6.4;2.69E-12
-6.5;2.67E-12
-6.6;3.05E-12
-6.7;2.3E-12
-6.8;2.36E-12
-6.9;2.99E-12
-7;1.54E-12
-7.1;2.14E-12
-7.2;2.37E-12
-7.3;3.05E-12
-7.4;2.42E-12
-7.5;2.28E-12
-7.6;2.5E-12
-7.7;2.75E-12
-7.8;2.52E-12
-7.9;2.64E-12
-8;2.31E-12
-8.1;2.73E-12
-8.2;2.55E-12
-8.3;2.86E-12
-8.4;2.28E-12
-8.5;2.5E-12
-8.6;2.34E-12
-8.7;2.46E-12
-8.8;2.32E-12
-8.9;2.3E-12
-9;2.52E-12
-9.09999;2.31E-12
-9.2;1.98E-12
-9.3;2.21E-12
-9.4;2.42E-12
-9.5;2.5E-12
-9.6;2.54E-12
-9.7;2.27E-12
-9.8;2.27E-12
-9.9;2.43E-12
-10;2.69E-12
