iC=1 iDev=1;iC=1 iDev=1
Ch2 - Volts;Ch2 - Amps
-1E-05;1.84389E-09
0.1;1.44211E-07
0.2;2.69204E-07
0.3;3.71736E-07
0.4;4.5377E-07
0.5;5.19782E-07
0.6;5.72397E-07
0.7;6.15144E-07
0.8;6.49672E-07
0.9;6.7757E-07
1;7.02592E-07
1.1;7.26309E-07
1.2;7.44481E-07
1.3;7.59416E-07
1.4;7.72557E-07
1.5;7.84049E-07
1.6;7.97631E-07
1.7;8.09953E-07
1.8;8.16872E-07
1.9;8.25833E-07
2;8.36848E-07
2.1;8.45886E-07
2.2;8.4575E-07
2.3;8.58791E-07
2.4;8.67981E-07
2.5;8.76835E-07
2.6;8.84438E-07
2.7;8.91474E-07
2.8;8.99376E-07
2.9;9.05429E-07
3;9.11036E-07
3.1;9.16733E-07
3.2;9.21516E-07
3.3;9.26123E-07
3.4;9.30356E-07
3.5;9.34673E-07
3.6;9.38441E-07
3.7;9.42097E-07
3.8;9.45633E-07
3.9;9.48795E-07
4;9.5151E-07
4.1;9.53207E-07
4.2;9.48813E-07
4.3;9.53768E-07
4.4;9.5678E-07
4.5;9.58135E-07
4.6;9.59851E-07
4.7;9.61578E-07
4.8;9.63937E-07
4.9;9.64288E-07
5;9.65385E-07
5.1;9.66592E-07
5.2;9.66391E-07
5.3;9.6201E-07
5.4;9.6484E-07
5.5;9.6557E-07
5.6;9.661E-07
5.7;9.7004E-07
5.8;9.7182E-07
5.9;9.7292E-07
6;9.7352E-07
6.1;9.7453E-07
6.2;9.6887E-07
6.3;9.7247E-07
6.4;9.7354E-07
6.5;9.7448E-07
6.6;9.7473E-07
6.7;9.7481E-07
6.8;9.756E-07
6.9;9.766E-07
7;9.7762E-07
7.1;9.7676E-07
7.2;9.7659E-07
7.3;9.7691E-07
7.4;9.7685E-07
7.5;9.7666E-07
7.6;9.7643E-07
7.7;9.7631E-07
7.8;9.7555E-07
7.9;9.7598E-07
8;9.7686E-07
8.1;9.7763E-07
8.2;9.6854E-07
8.3;9.7362E-07
8.4;9.753E-07
8.5;9.7616E-07
8.6;9.7646E-07
8.7;9.7644E-07
8.8;9.7762E-07
8.9;9.7723E-07
9;9.7759E-07
9.1;9.7716E-07
9.2;9.771E-07
9.3;9.7814E-07
9.4;9.7762E-07
9.5;9.7727E-07
9.6;9.7665E-07
9.7;9.7594E-07
9.8;9.7551E-07
9.9;9.7441E-07
10;9.7479E-07
10;9.6703E-07
9.9;9.5615E-07
9.8;9.5254E-07
9.7;9.471E-07
9.6;9.444E-07
9.5;9.4197E-07
9.4;9.401E-07
9.3;9.3895E-07
9.2;9.3786E-07
9.1;9.3598E-07
9;9.3446E-07
8.9;9.3334E-07
8.8;9.325E-07
8.7;9.3245E-07
8.6;9.3123E-07
8.5;9.307E-07
8.4;9.3231E-07
8.3;9.3255E-07
8.2;9.3222E-07
8.1;9.3164E-07
8;9.3031E-07
7.9;9.2958E-07
7.8;9.3649E-07
7.7;9.3033E-07
7.6;9.2798E-07
7.5;9.2737E-07
7.4;9.253E-07
7.3;9.2479E-07
7.2;9.2288E-07
7.1;9.2116E-07
7;9.2115E-07
6.9;9.2082E-07
6.8;9.1986E-07
6.7;9.1896E-07
6.6;9.1775E-07
6.5;9.1709E-07
6.4;9.1611E-07
6.3;9.1465E-07
6.2;9.1419E-07
6.1;9.1396E-07
6;9.1487E-07
5.9;9.1563E-07
5.8;9.2265E-07
5.7;9.169E-07
5.6;9.1543E-07
5.5;9.1402E-07
5.4;9.1501E-07
5.3;9.1372E-07
5.2;9.1152E-07
5.1;9.0951E-07
5;9.0591E-07
4.9;9.0311E-07
4.8;9.0051E-07
4.7;8.9853E-07
4.6;8.98708E-07
4.5;8.95973E-07
4.4;8.9375E-07
4.3;8.9139E-07
4.2;8.88679E-07
4.09999;8.85205E-07
4;8.81855E-07
3.89999;8.79163E-07
3.8;8.7676E-07
3.7;8.77988E-07
3.6;8.71316E-07
3.5;8.65824E-07
3.4;8.60955E-07
3.29999;8.56645E-07
3.2;8.51574E-07
3.1;8.46199E-07
3;8.39449E-07
2.9;8.33352E-07
2.8;8.26861E-07
2.7;8.19571E-07
2.59999;8.12028E-07
2.5;8.04607E-07
2.4;7.96246E-07
2.3;7.88036E-07
2.2;7.78871E-07
2.1;7.70217E-07
2;7.59384E-07
1.9;7.47344E-07
1.8;7.34895E-07
1.7;7.31774E-07
1.6;7.12267E-07
1.5;6.95856E-07
1.4;6.78377E-07
1.3;6.60073E-07
1.2;6.40121E-07
1.1;6.18808E-07
1;5.94689E-07
0.9;5.68405E-07
0.8;5.37311E-07
0.7;5.02616E-07
0.6;4.61011E-07
0.5;4.13683E-07
0.4;3.5792E-07
0.3;2.94804E-07
0.2;2.19021E-07
0.1;1.23543E-07
-1E-05;1.62592E-09
