iC=1 iDev=1;iC=1 iDev=1
Ch2 - Volts;Ch2 - Amps
-1E-05;4.0182E-10
0.09999;3.02262E-08
0.2;5.59838E-08
0.3;7.75756E-08
0.40001;9.60107E-08
0.5;1.10481E-07
0.6;1.26928E-07
0.7;1.41206E-07
0.8;1.54746E-07
0.9;1.67472E-07
1;1.79533E-07
1.1;1.9088E-07
1.2;2.01674E-07
1.3;2.11472E-07
1.4;2.21166E-07
1.5;2.30192E-07
1.6;2.38512E-07
1.7;2.46205E-07
1.8;2.53685E-07
1.9;2.60725E-07
2;2.6437E-07
2.1;2.71604E-07
2.2;2.77521E-07
2.3;2.82286E-07
2.4;2.86834E-07
2.5;2.90328E-07
2.6;2.94054E-07
2.7;2.979E-07
2.8;3.01356E-07
2.9;3.04706E-07
3;3.07678E-07
3.1;3.10071E-07
3.2;3.11801E-07
3.3;3.1366E-07
3.4;3.15575E-07
3.5;3.16954E-07
3.6;3.17594E-07
3.7;3.18777E-07
3.8;3.20087E-07
3.9;3.20732E-07
4;3.19019E-07
4.1;3.21105E-07
4.2;3.21805E-07
4.3;3.22525E-07
4.4;3.22581E-07
4.5;3.23157E-07
4.6;3.24367E-07
4.7;3.25802E-07
4.8;3.2585E-07
4.9;3.25926E-07
5;3.26E-07
5.1;3.26171E-07
5.2;3.25732E-07
5.3;3.2574E-07
5.4;3.25499E-07
5.5;3.25389E-07
5.6;3.25191E-07
5.7;3.26004E-07
5.8;3.26183E-07
5.9;3.2602E-07
6;3.23307E-07
6.1;3.24599E-07
6.2;3.24653E-07
6.3;3.24607E-07
6.4;3.24006E-07
6.5;3.23304E-07
6.6;3.22435E-07
6.7;3.23075E-07
6.8;3.23118E-07
6.9;3.23691E-07
7;3.23852E-07
7.1;3.2356E-07
7.2;3.23534E-07
7.3;3.23476E-07
7.4;3.23219E-07
7.5;3.23504E-07
7.6;3.22805E-07
7.7;3.22833E-07
7.8;3.23214E-07
7.9;3.2356E-07
8;3.23271E-07
8.1;3.21689E-07
8.2;3.22718E-07
8.3;3.23424E-07
8.4;3.24119E-07
8.5;3.23525E-07
8.6;3.24049E-07
8.7;3.2474E-07
8.8;3.24856E-07
8.9;3.24588E-07
9;3.2345E-07
9.1;3.22931E-07
9.2;3.23494E-07
9.3;3.23987E-07
9.4;3.23778E-07
9.5;3.22902E-07
9.6;3.23439E-07
9.7;3.23597E-07
9.8;3.23493E-07
9.9;3.22942E-07
10;3.23309E-07
10;3.20636E-07
9.9;3.17964E-07
9.8;3.17091E-07
9.7;3.15627E-07
9.6;3.14664E-07
9.5;3.14028E-07
9.4;3.13666E-07
9.3;3.13798E-07
9.2;3.13585E-07
9.1;3.13984E-07
9;3.13326E-07
8.9;3.13223E-07
8.8;3.13406E-07
8.7;3.13381E-07
8.6;3.12575E-07
8.5;3.12921E-07
8.4;3.12247E-07
8.3;3.12604E-07
8.2;3.13059E-07
8.1;3.12525E-07
8;3.14393E-07
7.9;3.13251E-07
7.8;3.11998E-07
7.7;3.11406E-07
7.6;3.11042E-07
7.5;3.10752E-07
7.4;3.10564E-07
7.3;3.11E-07
7.2;3.11312E-07
7.1;3.11023E-07
7;3.10671E-07
6.9;3.10556E-07
6.8;3.1024E-07
6.7;3.09819E-07
6.6;3.09546E-07
6.5;3.10058E-07
6.4;3.09423E-07
6.3;3.09721E-07
6.2;3.09312E-07
6.1;3.08972E-07
6;3.09108E-07
5.9;3.09748E-07
5.8;3.08796E-07
5.7;3.08304E-07
5.6;3.07717E-07
5.5;3.06037E-07
5.4;3.0479E-07
5.3;3.04331E-07
5.2;3.0394E-07
5.1;3.03705E-07
5;3.04133E-07
4.9;3.03832E-07
4.8;3.03302E-07
4.7;3.02616E-07
4.6;3.02081E-07
4.5;3.01414E-07
4.4;3.01292E-07
4.3;3.00674E-07
4.2;3.00365E-07
4.1;2.99095E-07
4;2.98152E-07
3.9;3.00607E-07
3.8;2.9817E-07
3.7;2.95994E-07
3.6;2.94134E-07
3.5;2.92337E-07
3.4;2.90876E-07
3.3;2.89113E-07
3.2;2.87025E-07
3.1;2.84838E-07
3;2.82251E-07
2.9;2.79523E-07
2.8;2.76915E-07
2.7;2.74008E-07
2.6;2.70781E-07
2.5;2.67021E-07
2.4;2.62241E-07
2.3;2.58142E-07
2.2;2.53429E-07
2.1;2.48441E-07
2;2.43492E-07
1.9;2.37621E-07
1.8;2.32601E-07
1.7;2.25401E-07
1.6;2.18477E-07
1.5;2.10974E-07
1.4;2.03104E-07
1.3;1.94888E-07
1.2;1.85762E-07
1.1;1.75907E-07
1;1.65734E-07
0.9;1.54814E-07
0.8;1.43122E-07
0.7;1.30948E-07
0.6;1.17929E-07
0.5;1.0321E-07
0.39999;8.89813E-08
0.29999;7.06217E-08
0.19999;5.06984E-08
0.1;2.77756E-08
-1E-05;3.7538E-10
