iC=1 iDev=1;iC=1 iDev=1
Ch1 - Volts;Ch1 - Amps
4.6;-9.62E-12
4.5;-4.35E-12
4.4;-8.71E-12
4.3;-9.14E-12
4.2;-9.29E-12
4.1;-8.86E-12
4;-9.33E-12
3.9;-9.23E-12
3.8;-9.01E-12
3.7;-9.23E-12
3.6;-9.13E-12
3.5;-9.07E-12
3.4;-9.15E-12
3.3;-9.31E-12
3.2;-9.83E-12
3.1;-9.22E-12
3;-9.69E-12
2.9;-9.72E-12
2.8;-6.15E-12
2.7;-9.94E-12
2.6;-4.59E-12
2.5;-9.37E-12
2.4;-9.56E-12
2.3;-9.84E-12
2.2;-1.035E-11
2.1;-1.105E-11
2;-1.134E-11
1.9;-1.158E-11
1.8;-1.207E-11
1.7;-1.229E-11
1.6;-1.21E-11
1.5;-1.238E-11
1.4;-1.232E-11
1.3;-1.244E-11
1.2;-1.265E-11
1.1;-1.242E-11
1;-1.242E-11
0.9;-1.152E-11
0.8;-1.083E-11
0.7;-4.75E-12
0.6;-8.78E-12
0.5;-9.1E-12
0.40001;-4.69E-12
0.3;-8.36E-12
0.2;-8.45E-12
0.1;-8.57E-12
0;-8.59E-12
-0.1;-9.09E-12
-0.2;-8.74E-12
-0.3;-8.71E-12
-0.4;-8.58E-12
-0.5;-9E-12
-0.6;-8.76E-12
-0.7;-8.92E-12
-0.8;-9.02E-12
-0.9;-8.76E-12
-1;-8.75E-12
-1.1;-8.62E-12
-1.2;-4.83E-12
-1.3;-4.5E-12
-1.4;-1.742E-11
-1.5;-1.874E-11
-1.6;-1.913E-11
-1.7;-1.927E-11
-1.8;-1.906E-11
-1.9;-1.881E-11
-2;-1.923E-11
-2.1;-1.926E-11
-2.2;-1.913E-11
-2.3;-1.954E-11
-2.4;-1.932E-11
-2.5;-1.961E-11
-2.6;-1.96E-11
-2.7;-1.935E-11
-2.8;-1.923E-11
-2.9;-1.954E-11
-3;-1.945E-11
-3.1;-5.15E-12
-3.2;-1.914E-11
-3.3;-1.953E-11
-3.4;-1.918E-11
-3.5;-1.956E-11
-3.6;-1.954E-11
-3.7;-1.983E-11
-3.8;-1.972E-11
-3.9;-1.944E-11
-4;-1.988E-11
-4.1;-1.993E-11
-4.2;-1.998E-11
-4.3;-1.979E-11
-4.4;-2.002E-11
-4.5;-2.043E-11
-4.6;-2.001E-11
-4.7;-1.973E-11
-4.8;-1.978E-11
-4.9;-2.01E-11
-5;-2.011E-11
-5.1;-2.01E-11
-5.2;-6.11E-12
-5.3;-1.945E-11
-5.4;-1.981E-11
-5.5;-1.989E-11
-5.6;-2.017E-11
-5.7;-1.979E-11
-5.8;-1.973E-11
-5.9;-1.99E-11
-6;-2.029E-11
-6.1;-2.001E-11
-6.2;-2.007E-11
-6.3;-2.017E-11
-6.4;-2.05E-11
-6.5;-2.054E-11
-6.6;-2.082E-11
-6.7;-2.002E-11
-6.8;-2.004E-11
-6.9;-2.042E-11
-7;-2.031E-11
-7.1;-2.059E-11
-7.2;-6.09E-12
-7.3;-1.99E-11
-7.4;-2.014E-11
-7.5;-2.003E-11
-7.6;-2.016E-11
-7.7;-2.027E-11
-7.8;-2.024E-11
-7.9;-2.031E-11
-8;-2.094E-11
-8.1;-2.047E-11
-8.2;-2.086E-11
-8.3;-2.093E-11
-8.4;-2.044E-11
-8.5;-2.091E-11
-8.6;-2.066E-11
-8.7;-2.107E-11
-8.8;-2.132E-11
-8.9;-2.074E-11
-9;-2.093E-11
-9.1;-2.139E-11
-9.2;-2.115E-11
-9.3;-6.98E-12
-9.4;-1.995E-11
-9.5;-2.065E-11
-9.6;-2.092E-11
-9.7;-2.126E-11
-9.8;-2.079E-11
-9.9;-2.095E-11
-10;-2.107E-11
