iC=1 iDev=1;iC=1 iDev=1
Ch1 - Volts;Ch2 - Amps
-10;7.04E-12
-9.90001;4.89E-12
-9.80001;5.55E-12
-9.70001;4.95E-12
-9.60001;4.93E-12
-9.50001;4.96E-12
-9.40001;3.72E-12
-9.30001;3.96E-12
-9.20001;4.67E-12
-9.10001;3.73E-12
-9.00001;3.29E-12
-8.90001;3.02E-12
-8.80001;3.6E-12
-8.70001;3.31E-12
-8.60001;2.99E-12
-8.50001;2.62E-12
-8.40001;3.23E-12
-8.30001;3.2E-12
-8.20001;2.6E-12
-8.10001;2.41E-12
-8.00001;2.93E-12
-7.90001;2.53E-12
-7.80001;2.4E-12
-7.70001;3.17E-12
-7.60001;1.79E-12
-7.50001;1.94E-12
-7.40001;2.43E-12
-7.30001;2.59E-12
-7.20001;1.64E-12
-7.10001;1.66E-12
-7.00001;2.38E-12
-6.90001;2.1E-12
-6.80001;2.17E-12
-6.70001;1.46E-12
-6.60001;2.08E-12
-6.50001;2.43E-12
-6.40001;1.61E-12
-6.30001;1.15E-12
-6.20001;1.76E-12
-6.10001;1.69E-12
-6.00001;1.87E-12
-5.90001;1.3E-12
-5.80001;1.73E-12
-5.70001;2.23E-12
-5.60001;1.41E-12
-5.50001;1.66E-12
-5.40001;1.92E-12
-5.30001;1.03E-12
-5.20001;1.34E-12
-5.10001;1.77E-12
-5.00001;1.3E-12
-4.90001;1.17E-12
-4.80001;6.5E-13
-4.70001;2.16E-12
-4.60001;5.7E-13
-4.50001;1.31E-12
-4.40001;1.99E-12
-4.30001;1.8E-12
-4.20001;1.35E-12
-4.10001;3.26E-12
-4.00001;5.05E-12
-3.90001;1.018E-11
-3.80001;1.739E-11
-3.70001;3.298E-11
-3.60001;6.259E-11
-3.50001;1.0281E-10
-3.40001;1.6596E-10
-3.30001;2.545E-10
-3.20001;3.7873E-10
-3.10001;5.468E-10
-3.00001;7.6332E-10
-2.90001;1.04277E-09
-2.80001;1.40061E-09
-2.70001;1.83519E-09
-2.60001;2.37468E-09
-2.50001;3.04519E-09
-2.40001;3.83582E-09
-2.30001;4.75509E-09
-2.20001;5.84532E-09
-2.10001;7.08516E-09
-2.00001;8.49626E-09
-1.90001;1.007687E-08
-1.80001;1.21404E-08
-1.70001;1.41893E-08
-1.60001;1.63677E-08
-1.50001;1.88286E-08
-1.40001;2.15383E-08
-1.30001;2.44186E-08
-1.20001;2.76516E-08
-1.10001;3.12752E-08
-1.00001;3.50324E-08
-0.90001;3.92645E-08
-0.80001;4.37745E-08
