iC=1 iDev=1;iC=1 iDev=1
Ch2 - sec;Ch2 - Amps
0.086529;1.7785E-08
0.169132;1.75426E-08
0.369668;1.72582E-08
0.570574;1.70072E-08
0.770479;1.69775E-08
0.970419;1.68633E-08
1.170593;1.67304E-08
1.370671;1.66733E-08
1.570467;1.66192E-08
1.770705;1.63819E-08
1.971679;1.62811E-08
2.17157;1.62336E-08
2.371308;1.6325E-08
2.571325;1.61361E-08
2.77142;1.60761E-08
2.971412;1.60993E-08
3.171326;1.60346E-08
3.371311;1.6025E-08
3.571407;1.59739E-08
3.770787;1.58428E-08
3.971364;1.5957E-08
4.171372;1.57968E-08
4.371065;1.58533E-08
4.571242;1.59124E-08
4.771168;1.58248E-08
4.970839;1.58129E-08
5.170789;1.58164E-08
5.37166;1.58194E-08
5.572521;1.57761E-08
5.77253;1.57666E-08
5.972449;1.56769E-08
6.172144;1.56297E-08
6.372092;1.57047E-08
6.572256;1.55742E-08
6.771984;1.56227E-08
6.972687;1.56487E-08
7.173975;1.56183E-08
7.37399;1.56065E-08
7.57502;1.56106E-08
7.775626;1.54502E-08
7.975443;1.54666E-08
8.175121;1.53743E-08
8.374983;1.54032E-08
8.575565;1.54519E-08
8.775459;1.54811E-08
8.975686;1.54456E-08
9.175457;1.54541E-08
9.376081;1.54969E-08
9.576032;1.54214E-08
9.776087;1.53712E-08
9.976319;1.55242E-08
10.176038;1.54914E-08
10.375824;1.53866E-08
10.575795;1.54408E-08
10.776049;1.52684E-08
10.975768;1.51397E-08
11.176515;1.51535E-08
11.376439;1.5246E-08
11.576204;1.52076E-08
11.776205;1.51453E-08
11.97625;1.52117E-08
12.176412;1.52271E-08
12.37701;1.51528E-08
12.577418;1.52394E-08
12.777441;1.50941E-08
12.977156;1.49843E-08
13.177286;1.50274E-08
13.377637;1.51562E-08
13.578235;1.50122E-08
13.778367;1.4976E-08
13.978467;1.50089E-08
14.178617;1.49916E-08
14.378733;1.50057E-08
14.580376;1.48981E-08
14.780652;1.50438E-08
14.980383;1.48441E-08
15.180432;1.49046E-08
15.380586;1.49249E-08
15.580884;1.49791E-08
15.781645;1.49077E-08
15.983084;1.4777E-08
16.183349;1.49004E-08
16.383926;1.48907E-08
16.583949;1.48799E-08
16.783943;1.48819E-08
16.983931;1.48755E-08
17.184978;1.46839E-08
17.385557;1.48198E-08
17.585504;1.47653E-08
17.785212;1.47263E-08
17.985074;1.47203E-08
18.184947;1.47832E-08
18.384942;1.47595E-08
18.584977;1.47625E-08
18.785548;1.46689E-08
18.985284;1.45885E-08
19.185256;1.45246E-08
19.385122;1.46474E-08
19.585002;1.44893E-08
19.784945;1.46065E-08
19.985618;1.45372E-08
