iC=1 iDev=1;iC=1 iDev=1
Ch2 - Volts;Ch2 - Amps
0;7.852E-09
0.1;6.70013E-07
0.2;1.28838E-06
0.3;1.86364E-06
0.4;2.36531E-06
0.5;2.79617E-06
0.6;3.17141E-06
0.7;3.49399E-06
0.8;3.77759E-06
0.9;4.05021E-06
1;4.29056E-06
1.1;4.48837E-06
1.2;4.67289E-06
1.3;4.84939E-06
1.4;5.03554E-06
1.5;5.18019E-06
1.6;5.3339E-06
1.7;5.46063E-06
1.8;5.57512E-06
1.9;5.67626E-06
2;5.75855E-06
2.1;5.82212E-06
2.2;5.74983E-06
2.3;5.84585E-06
2.4;5.90963E-06
2.5;5.94343E-06
2.6;5.9877E-06
2.7;6.02162E-06
2.8;6.04469E-06
2.9;6.05403E-06
3;6.06037E-06
3.1;6.07119E-06
3.2;6.08627E-06
3.3;6.10261E-06
3.4;6.0944E-06
3.5;6.07982E-06
3.6;6.10059E-06
3.7;6.12664E-06
3.8;6.14042E-06
3.9;6.1488E-06
4;6.15108E-06
4.1;6.14033E-06
4.2;6.10706E-06
4.3;6.12681E-06
4.4;6.12982E-06
4.5;6.13133E-06
4.6;6.12874E-06
4.7;6.14012E-06
4.8;6.13956E-06
4.9;6.13484E-06
5;6.1258E-06
5.1;6.11414E-06
5.2;6.12769E-06
5.3;6.14014E-06
5.4;6.1461E-06
5.5;6.14579E-06
5.6;6.15207E-06
5.7;6.13521E-06
5.8;6.1393E-06
5.9;6.14156E-06
6;6.14579E-06
6.1;6.1494E-06
6.2;6.11249E-06
6.3;6.13797E-06
6.4;6.13971E-06
6.5;6.13708E-06
6.6;6.14836E-06
6.7;6.15709E-06
6.8;6.15527E-06
6.9;6.14621E-06
7;6.14584E-06
7.1;6.14209E-06
7.2;6.14622E-06
7.3;6.14651E-06
7.4;6.1419E-06
7.5;6.13377E-06
7.6;6.13307E-06
7.7;6.13127E-06
7.8;6.14228E-06
7.9;6.14275E-06
8;6.14406E-06
8.1;6.13398E-06
8.2;6.13774E-06
8.3;6.1175E-06
8.4;6.13583E-06
8.5;6.14391E-06
8.6;6.13608E-06
8.7;6.14243E-06
8.8;6.14383E-06
8.9;6.13628E-06
9;6.12994E-06
9.1;6.12839E-06
9.2;6.11748E-06
9.3;6.12774E-06
9.4;6.14401E-06
9.5;6.15418E-06
9.6;6.15914E-06
9.7;6.1596E-06
9.8;6.15431E-06
9.9;6.15745E-06
10;6.16146E-06
10;6.12336E-06
9.9;6.06586E-06
9.8;6.05502E-06
9.7;6.03037E-06
9.6;6.01532E-06
9.5;6.00569E-06
9.4;6.00018E-06
9.29999;5.99095E-06
9.2;5.98956E-06
9.1;5.98361E-06
9;5.97856E-06
8.9;5.97293E-06
8.8;5.97405E-06
8.7;5.97092E-06
8.6;5.96361E-06
8.5;5.95739E-06
8.4;5.96029E-06
8.3;5.95257E-06
8.2;5.94753E-06
8.1;5.94053E-06
8;5.93766E-06
7.9;5.94187E-06
7.8;5.96585E-06
7.7;5.937E-06
7.6;5.92268E-06
7.5;5.91895E-06
7.4;5.91416E-06
7.3;5.90875E-06
7.2;5.90669E-06
7.1;5.90098E-06
7;5.89608E-06
6.9;5.89122E-06
6.8;5.88796E-06
6.7;5.88269E-06
6.6;5.87734E-06
6.5;5.87487E-06
6.4;5.87073E-06
6.3;5.86464E-06
6.2;5.84981E-06
6.1;5.8443E-06
6;5.84004E-06
5.9;5.83372E-06
5.8;5.82096E-06
5.7;5.82901E-06
5.6;5.81112E-06
5.5;5.80316E-06
5.4;5.7961E-06
5.3;5.78798E-06
5.2;5.77504E-06
5.1;5.76196E-06
5;5.76032E-06
4.9;5.75671E-06
4.8;5.75121E-06
4.7;5.73899E-06
4.6;5.72848E-06
4.5;5.71503E-06
4.4;5.71355E-06
4.3;5.71633E-06
4.2;5.71244E-06
4.1;5.69253E-06
4;5.67261E-06
3.9;5.65549E-06
3.8;5.64035E-06
3.7;5.66696E-06
3.6;5.62439E-06
3.5;5.59897E-06
3.4;5.57434E-06
3.29999;5.55091E-06
3.2;5.5254E-06
3.1;5.49926E-06
3;5.46554E-06
2.9;5.43207E-06
2.8;5.3792E-06
2.7;5.32474E-06
2.59999;5.26959E-06
2.5;5.20818E-06
2.4;5.13854E-06
2.3;5.0705E-06
2.2;4.99368E-06
2.1;4.91449E-06
2;4.82101E-06
1.9;4.71168E-06
1.8;4.61461E-06
1.7;4.59018E-06
1.6;4.3795E-06
1.5;4.2195E-06
1.4;4.04575E-06
1.3;3.8945E-06
1.2;3.70341E-06
1.1;3.49813E-06
1;3.30332E-06
0.9;3.08073E-06
0.8;2.83323E-06
0.7;2.58351E-06
0.6;2.30642E-06
0.5;2.00806E-06
0.4;1.69152E-06
0.3;1.35085E-06
0.2;9.7062E-07
0.1;5.35159E-07
-1E-05;6.77193E-09
