im2graph version 1.21 Copyright Shai Vaingast 2014-, http://www.im2graph.co.il

X, Y_0
38.6364, 0.587895
39.1414, 0.586842
39.6465, 0.586842
40.1515, 0.587895
40.6566, 0.59
41.1616, 0.582632
41.6667, 0.585789
42.1717, 0.586842
42.6768, 0.586842
43.1818, 0.588947
43.6869, 0.586842
44.1919, 0.585789
44.697, 0.583684
45.202, 0.584737
45.7071, 0.584737
46.2121, 0.583684
46.7172, 0.586842
47.2222, 0.586842
47.7273, 0.587895
48.2323, 0.586842
48.7374, 0.585789
49.2424, 0.587895
49.7475, 0.587895
50.2525, 0.587895
50.7576, 0.586842
51.2626, 0.584737
51.7677, 0.584737
52.2727, 0.564737
52.7778, 0.585789
53.2828, 0.588947
53.7879, 0.592105
54.2929, 0.563684
54.798, 0.564737
55.303, 0.588947
55.8081, 0.59
56.3131, 0.591053
56.8182, 0.591053
57.3232, 0.586842
57.8283, 0.586842
58.3333, 0.586842
58.8384, 0.583684
59.3434, 0.577368
59.8485, 0.571053
60.3535, 0.566842
60.8586, 0.562632
61.3636, 0.557368
61.8687, 0.548947
62.3737, 0.539474
62.8788, 0.531053
63.3838, 0.528947
63.8889, 0.526842
64.3939, 0.520526
64.899, 0.511053
65.404, 0.499474
65.9091, 0.487895
66.4141, 0.480526
66.9192, 0.459474
67.4242, 0.458421
67.9293, 0.457368
68.4343, 0.453158
68.9394, 0.448947
69.4444, 0.445789
69.9495, 0.436316
70.4545, 0.427895
70.9596, 0.425789
71.4646, 0.424737
71.9697, 0.424737
72.4747, 0.424737
72.9798, 0.423684
73.4848, 0.422632
73.9899, 0.420526
74.4949, 0.418421
75, 0.415263
75.5051, 0.41
76.0101, 0.406842
76.5152, 0.405789
77.0202, 0.404737
77.5253, 0.404737
78.0303, 0.399474
78.5354, 0.392105
79.0404, 0.387895
79.5455, 0.386842
80.0505, 0.384737
80.5556, 0.383684
81.0606, 0.383684
81.5657, 0.383684
82.0707, 0.381579
82.5758, 0.376316
83.0808, 0.373158
83.5859, 0.371053
84.0909, 0.37
84.596, 0.368947
85.101, 0.368947
85.6061, 0.365789
86.1111, 0.362632
86.6162, 0.357368
87.1212, 0.351053
87.6263, 0.347895
88.1313, 0.345789
88.6364, 0.343684
89.1414, 0.343684
89.6465, 0.342632
90.1515, 0.342632
90.6566, 0.341579
91.1616, 0.338421
91.6667, 0.333158
92.1717, 0.33
92.6768, 0.326842
93.1818, 0.327895
93.6869, 0.327895
94.1919, 0.327895
94.697, 0.326842
95.202, 0.323684
95.7071, 0.320526
96.2121, 0.316316
96.7172, 0.315263
97.2222, 0.315263
97.7273, 0.316316
98.2323, 0.317368
98.7374, 0.315263
99.2424, 0.313158
99.7475, 0.311053
