Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-
0.21148681640625;104.963146734994;2.41119384765625E-05;0.21185302734375;3;975;0.00528933485783637;-0.000203567555174232
0.2215576171875;105.063854734739;2.39471435546875E-05;0.221954345703125;3;976;0.00528933485783637;-0.000203567555174232
0.23162841796875;105.164562734485;2.44049072265625E-05;0.232025146484375;3;977;0.00528933485783637;-0.000203567555174232
0.24169921875;105.265270734231;2.50213623046875E-05;0.242095947265625;3;978;0.00528933485783637;-0.000203567555174232
0.25177001953125;105.365978733976;2.5372314453125E-05;0.252197265625;3;979;0.00528933485783637;-0.000203567555174232
0.2618408203125;105.466686733722;2.5433349609375E-05;0.262237548828125;3;980;0.00528933485783637;-0.000203567555174232
0.27191162109375;105.567394733468;2.5372314453125E-05;0.272308349609375;3;981;0.00528933485783637;-0.000203567555174232
0.281982421875;105.668102733214;2.53265380859375E-05;0.282379150390625;3;982;0.00528933485783637;-0.000203567555174232
0.29205322265625;105.768810732959;2.5360107421875E-05;0.292510986328125;3;983;0.00528933485783637;-0.000203567555174232
0.3021240234375;105.869518732705;2.54974365234375E-05;0.30255126953125;3;984;0.00528933485783637;-0.000203567555174232
0.31219482421875;105.970226732451;2.5775146484375E-05;0.312591552734375;3;985;0.00528933485783637;-0.000203567555174232
0.322265625;106.070934732197;2.6141357421875E-05;0.322662353515625;3;986;0.00528933485783637;-0.000203567555174232
0.33233642578125;106.171642731942;2.650146484375E-05;0.332855224609375;3;987;0.00528933485783637;-0.000203567555174232
0.3424072265625;106.272350731688;2.67181396484375E-05;0.342803955078125;3;988;0.00528933485783637;-0.000203567555174232
0.35247802734375;106.373058731434;2.6629638671875E-05;0.352935791015625;3;989;0.00528933485783637;-0.000203567555174232
0.362548828125;106.47376673118;2.63519287109375E-05;0.36297607421875;3;990;0.00528933485783637;-0.000203567555174232
0.37261962890625;106.574474730925;2.6214599609375E-05;0.373016357421875;3;991;0.00528933485783637;-0.000203567555174232
0.3826904296875;106.675182730671;2.68310546875E-05;0.38311767578125;3;992;0.00528933485783637;-0.000203567555174232
0.39276123046875;106.775890730417;2.77618408203125E-05;0.393157958984375;3;993;0.00528933485783637;-0.000203567555174232
0.40283203125;106.876598730163;2.78564453125E-05;0.403289794921875;3;994;0.00528933485783637;-0.000203567555174232
0.41290283203125;106.977306729908;2.7325439453125E-05;0.41339111328125;3;995;0.00528933485783637;-0.000203567555174232
0.4229736328125;107.078014729654;2.774658203125E-05;0.42352294921875;3;996;0.00528933485783637;-0.000203567555174232
0.43304443359375;107.1787227294;2.884521484375E-05;0.433502197265625;3;997;0.00528933485783637;-0.000203567555174232
0.443115234375;107.279430729145;2.8955078125E-05;0.443634033203125;3;998;0.00528933485783637;-0.000203567555174232
0.45318603515625;107.380138728891;2.84637451171875E-05;0.45367431640625;3;999;0.00528933485783637;-0.000203567555174232
0.4632568359375;107.480846728637;2.92510986328125E-05;0.463714599609375;3;1000;0.00528933485783637;-0.000203567555174232
0.47332763671875;107.581554728383;3.026123046875E-05;0.47381591796875;3;1001;0.00528933485783637;-0.000203567555174232
0.4833984375;107.682262728128;2.99530029296875E-05;0.483917236328125;3;1002;0.00528933485783637;-0.000203567555174232
0.49346923828125;107.782970727874;2.984619140625E-05;0.49395751953125;3;1003;0.00528933485783637;-0.000203567555174232
0.5035400390625;107.88367872762;3.11248779296875E-05;0.50396728515625;3;1004;0.00528933485783637;-0.000203567555174232
0.51361083984375;107.984386727366;3.1732177734375E-05;0.51416015625;3;1005;0.00528933485783637;-0.000203567555174232
0.523681640625;108.085094727111;3.1219482421875E-05;0.524200439453125;3;1006;0.00528933485783637;-0.000203567555174232
0.53375244140625;108.185802726857;3.179931640625E-05;0.5343017578125;3;1007;0.00528933485783637;-0.000203567555174232
0.5438232421875;108.286510726603;3.30963134765625E-05;0.54443359375;3;1008;0.00528933485783637;-0.000203567555174232
0.55389404296875;108.387218726349;3.30230712890625E-05;0.554443359375;3;1009;0.00528933485783637;-0.000203567555174232
0.56396484375;108.487926726094;3.2867431640625E-05;0.564544677734375;3;1010;0.00528933485783637;-0.000203567555174232
0.57403564453125;108.58863472584;3.42987060546875E-05;0.574615478515625;3;1011;0.00528933485783637;-0.000203567555174232
0.5841064453125;108.689342725586;3.477783203125E-05;0.584686279296875;3;1012;0.00528933485783637;-0.000203567555174232
0.59417724609375;108.790050725332;3.43902587890625E-05;0.594757080078125;3;1013;0.00528933485783637;-0.000203567555174232
0.604248046875;108.890758725077;3.5894775390625E-05;0.6048583984375;3;1014;0.00528933485783637;-0.000203567555174232
0.61431884765625;108.991466724823;3.6004638671875E-05;0.614898681640625;3;1015;0.00528933485783637;-0.000203567555174232
0.6243896484375;109.092174724569;3.61114501953125E-05;0.625;3;1016;0.00528933485783637;-0.000203567555174232
0.63446044921875;109.192882724314;3.7579345703125E-05;0.6351318359375;3;1017;0.00528933485783637;-0.000203567555174232
