#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 12:59:33.568
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential RMS Average
#Weight: 50 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-76.65873539257657,180
4.8828125,-76.48288125245978,153.8634243901101
9.765625,-77.46936605740146,123.9757982011998
14.6484375,-78.90683113223972,83.86898805745896
19.53125,-79.31371476137035,60.05619334512757
24.4140625,-80.14429924703734,54.77223750097321
29.296875,-80.61161950816326,46.62988344824248
34.1796875,-81.32983964491827,16.26474361114184
39.0625,-81.53420068990133,31.7715788285776
43.9453125,-80.97013387560004,52.99835162319216
48.828125,-81.49380813407822,92.45945951783449
53.7109375,-81.60556335537903,94.89821307588966
58.59375,-82.03338502356553,88.34556489659981
63.4765625,-82.33790544552821,69.1741392646008
68.359375,-82.3015986242545,43.20882514059767
73.2421875,-82.6147098631663,15.5733897027134
78.125,-83.01691372210379,166.4301250558155
83.0078125,-82.61272665101244,136.8559773165458
87.890625,-82.33142545400371,111.1507690378917
92.7734375,-82.45786403039348,100.0949636768462
97.65625,-83.12424450601775,101.1689242167368
102.5390625,-82.69765780616243,118.2664762636975
107.421875,-82.13051780917269,162.5811630395924
112.3046875,-82.2184202874967,9.863964009405967
117.1875,-82.12362445877908,32.89810931120284
122.0703125,-82.25904562330513,42.26007669463735
126.953125,-82.44185585364792,38.4386722733582
131.8359375,-82.05262400361953,36.00691539426964
136.71875,-82.35003831343532,21.89411579867783
141.6015625,-82.5533400527423,8.497735010417875
146.484375,-83.16200644734492,11.53983798732909
151.3671875,-83.7071152671073,13.9536403196008
156.25,-83.03078145528035,8.438255831960186
161.1328125,-83.20048676500636,4.970922256233096
166.015625,-83.36967766641794,165.5382066924257
170.8984375,-83.48399644046629,160.129439042435
175.78125,-83.5110074557364,174.3338851414002
180.6640625,-83.28802710286678,20.39153810923254
185.546875,-83.74423626415327,40.98677986877632
190.4296875,-84.42976416309632,53.10662281996736
195.3125,-83.73824192459219,63.65558854764747
200.1953125,-83.24862840841782,50.04671635628305
205.078125,-83.01823623557129,32.93129270836167
209.9609375,-83.35335339300784,21.24545223343985
214.84375,-83.46989171660915,20.88954683870527
219.7265625,-83.14320379104365,43.12826161339865
224.609375,-83.51873181910052,69.93797404955723
229.4921875,-83.63793893770988,143.3029300789463
234.375,-83.82521016078037,150.8810316311991
239.2578125,-83.64583573269252,151.0793745259742
244.140625,-83.01298870330672,157.0544702975464
249.0234375,-82.66614889192414,161.6757812018023
253.90625,-82.59897742367318,164.3022151579466
258.7890625,-83.15604220720937,161.100689852632
263.671875,-84.03956472516937,157.8528944534668
268.5546875,-83.43713504218313,159.0342132902322
273.4375,-83.19329132827846,159.6596344729755
278.3203125,-83.17683736068135,167.0511097058375
283.203125,-83.7574390829174,175.4570693609159
288.0859375,-84.37063814319573,157.5436016253689
292.96875,-83.89666813370494,122.4934820063641
297.8515625,-83.47686918628257,101.1147244953044
302.734375,-83.75076016394603,92.76470328416701
307.6171875,-84.37942871059987,73.22233987635938
312.5,-84.29909718067238,51.73836547025289
317.3828125,-84.30491576022176,34.54239941476579
322.265625,-84.21026731955388,37.27443420662929
327.1484375,-84.20637654205339,58.44010935476075
332.03125,-83.83895317064699,144.0129442521306
336.9140625,-83.74250372160225,136.1511893385658
