#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 11:55:26.508
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential RMS Average
#Weight: 150 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Noise
#Frequency: 50 kHz
#Period: 20 us
#Amplitude: 4 mV
#Offset: 0 V

Frequency (Hz),Trace 1 (VHz),Phase (deg)
0,4.708103106069713e-05,0
4.8828125,5.255643371731638e-05,53.55436497334511
9.765625,5.690631741263836e-05,57.99297172942637
14.6484375,5.950697547169559e-05,98.20663852755861
19.53125,6.118569976876624e-05,94.41264434584005
24.4140625,6.06546227548571e-05,79.75957592256627
29.296875,5.875829809086767e-05,89.02124766539829
34.1796875,6.438198094903087e-05,65.71142434042066
39.0625,0.0001641291672260245,21.14922078293962
43.9453125,0.0002809748034934075,11.78096568981715
48.828125,0.000305946181479571,10.37709747848887
53.7109375,0.0003050859835512705,11.45536659200056
58.59375,0.000237216721359753,14.02339133333169
63.4765625,0.0001038505959083882,24.93721430493635
68.359375,5.53301301046802e-05,51.03199285800876
73.2421875,5.476230587451064e-05,67.17861916139364
78.125,5.624851058733954e-05,89.75044297872107
83.0078125,5.627436536332079e-05,112.9787039093209
87.890625,5.522173328976069e-05,135.0839506677464
92.7734375,5.436369530983273e-05,157.0382879964999
97.65625,5.441739345397987e-05,168.9863596646691
102.5390625,5.421033439664985e-05,168.823747402308
107.421875,5.405158654203937e-05,156.9766398396951
112.3046875,5.436622322566064e-05,120.3537167678151
117.1875,5.297697509772818e-05,65.44375866109725
122.0703125,5.292119254216949e-05,125.9670412655765
126.953125,5.395672478898071e-05,102.3530614504164
131.8359375,5.506696294140649e-05,88.04796529500734
136.71875,5.621652669210254e-05,73.31793895979938
141.6015625,5.695466439555705e-05,42.01428718048201
146.484375,5.65151809307036e-05,159.3373888415956
151.3671875,5.645341556761642e-05,123.526312651888
156.25,5.728038403450971e-05,164.4474606294027
161.1328125,5.788302215632861e-05,156.7732514137535
166.015625,5.700207601344669e-05,148.5617819967756
170.8984375,5.496923970384309e-05,141.8683660696948
175.78125,5.291314247837718e-05,157.3560664857533
180.6640625,5.417121736690834e-05,2.110350737842356
185.546875,5.512950984378031e-05,178.6732690090826
190.4296875,5.524242608582587e-05,168.1257102863933
195.3125,5.665417926656766e-05,151.1070726913814
200.1953125,5.613333897466657e-05,140.5657837796523
205.078125,5.608889262053531e-05,140.9715509479464
209.9609375,5.663026869961743e-05,149.8793755562251
214.84375,5.668127386879713e-05,161.3149463199174
219.7265625,5.718139578059473e-05,158.9468487635819
224.609375,5.715718509458791e-05,152.4077438801212
229.4921875,5.732581953661136e-05,159.669263128383
234.375,5.820944569934304e-05,174.9392729101366
239.2578125,6.228656838422617e-05,90.6783071457367
244.140625,6.931426934497993e-05,36.82524609672546
249.0234375,7.008333433491587e-05,33.07424962105929
253.90625,6.963591863199074e-05,43.55617319987782
258.7890625,6.281001408565528e-05,46.35222897450414
263.671875,5.506808727628812e-05,103.4706516881546
268.5546875,5.483089773918599e-05,165.1162922511004
273.4375,5.563687347078804e-05,31.30348685079154
278.3203125,5.485113269229449e-05,59.10193161205373
283.203125,5.386184742764899e-05,62.70194848271012
288.0859375,5.305285113686295e-05,64.55884264713494
292.96875,5.244886491133371e-05,58.6067538822531
297.8515625,5.269557978420798e-05,50.19473752700071
302.734375,5.246121576745058e-05,40.57348118275563
307.6171875,5.301209603246732e-05,13.84128009889918
312.5,5.377440087029753e-05,152.6447366602681
317.3828125,5.412413099877133e-05,51.26029783324046
322.265625,5.394209731288069e-05,97.20563080589049
327.1484375,5.448318816011989e-05,112.125199059242
332.03125,5.364678269190662e-05,111.0766303507767
336.9140625,5.266589429059939e-05,103.3217523233531
341.796875,5.569393225792379e-05,73.01649207579709
346.6796875,5.887151246853303e-05,61.26206568361952
351.5625,6.175419742476877e-05,74.29737663500738
356.4453125,6.366131248430126e-05,70.78017242662375
361.328125,6.065977479206302e-05,71.40040959614167
366.2109375,5.645626420352483e-05,58.98756882648031
371.09375,5.52177205308261e-05,36.2642878091169
375.9765625,5.580642186794636e-05,20.6850066297537
380.859375,5.541425583956992e-05,6.697783198025472
385.7421875,5.489264902768163e-05,30.11044286967708
390.625,5.570777441041904e-05,25.93608917688695
395.5078125,5.603667490088932e-05,24.40786472590675
