#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 11:51:14.139
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential RMS Average
#Weight: 150 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Noise
#Frequency: 50 kHz
#Period: 20 us
#Amplitude: 4 mV
#Offset: 0 V

Frequency (Hz),Trace 1 (VHz),Phase (deg)
0,4.404270590543806e-05,0
4.8828125,4.945211425434482e-05,141.7001819542486
9.765625,5.331969942471587e-05,144.4637775446885
14.6484375,5.554854426756079e-05,154.4484062481066
19.53125,5.732066166171583e-05,170.1798060478133
24.4140625,5.577540326023407e-05,14.53315457607363
29.296875,5.511135490073348e-05,58.15624800849554
34.1796875,6.345534091540647e-05,73.89638734390512
39.0625,0.000166895738770686,75.90979223205026
43.9453125,0.0002896044062345062,79.13435557013909
48.828125,0.0003155559991999698,80.32254840806023
53.7109375,0.0003139368950901012,80.06787539241088
58.59375,0.0002435087409723612,81.69278615807001
63.4765625,0.0001045653676292,84.10736106871244
68.359375,5.771069948526762e-05,74.64171625473345
73.2421875,5.57473244243141e-05,62.07521621613581
78.125,5.50711755474643e-05,64.64203547251797
83.0078125,5.459915470716242e-05,56.45537966626509
87.890625,5.477237447478196e-05,43.53869399036381
92.7734375,5.424059959333608e-05,82.40125102736035
97.65625,5.311849781315969e-05,91.60044286010748
102.5390625,5.388268023647213e-05,92.99498362878367
107.421875,5.363669200211215e-05,105.1553843748573
112.3046875,5.281282723341365e-05,126.3039143776572
117.1875,5.298258285110138e-05,143.1975191160357
122.0703125,5.413368882027199e-05,158.779305980634
126.953125,5.560533348813369e-05,161.627680696244
131.8359375,5.600627838977466e-05,152.8343263044885
136.71875,5.543293058311799e-05,144.3366517067317
141.6015625,5.507944965149186e-05,129.3823209083698
146.484375,5.496356528249758e-05,111.4572277446375
151.3671875,5.499066049325239e-05,92.23032189551596
156.25,5.507100948835904e-05,84.71258223873497
161.1328125,5.458871156145871e-05,80.39293994195721
166.015625,5.383917408182611e-05,70.24937333192145
170.8984375,5.518683972184461e-05,80.99705978849215
175.78125,5.658530868026278e-05,84.58776812037848
180.6640625,5.678633910464575e-05,75.92419796766204
185.546875,5.639569493415518e-05,77.54528282211361
190.4296875,5.468803890689434e-05,57.68443600784857
195.3125,5.35564579626341e-05,128.8606020899967
200.1953125,5.453672498719413e-05,108.7422209876191
205.078125,5.545130520840833e-05,92.68002990290147
209.9609375,5.588430494827299e-05,82.23105464155068
214.84375,5.598911865901732e-05,44.78401788482781
219.7265625,5.483991614201889e-05,18.03839017142743
224.609375,5.355542541109362e-05,26.15098074751453
229.4921875,5.420503002138864e-05,30.96568995065818
234.375,5.685830715056056e-05,34.70513633735005
239.2578125,6.245726713565396e-05,39.42986843382015
244.140625,7.133688440915462e-05,35.71127252086037
249.0234375,7.271385273502947e-05,27.76677599461008
253.90625,7.111330743121619e-05,39.65225002150449
258.7890625,6.22297568457443e-05,51.665763991513
263.671875,5.440373990281204e-05,18.20592126506828
268.5546875,5.45167918840076e-05,140.7005048938982
273.4375,5.495617825585426e-05,78.19834340709509
278.3203125,5.573300574479792e-05,85.31468019603152
283.203125,5.61879482192359e-05,72.21537766126589
288.0859375,5.464620239034796e-05,44.69281798666866
292.96875,5.400981109495293e-05,31.79367753871209
297.8515625,5.454536485146637e-05,1.207159354755674
302.734375,5.497459541030304e-05,111.754690489334
307.6171875,5.39721198329413e-05,104.8209165148806
312.5,5.336677279498273e-05,30.13252645336969
317.3828125,5.348082742482681e-05,103.0880413143204
322.265625,5.482955663801967e-05,112.0019317275752
327.1484375,5.546737723829978e-05,125.8495291792771
332.03125,5.57352716006537e-05,122.9714749795593
336.9140625,5.617727485153273e-05,115.6961571211477
341.796875,5.808870674736294e-05,71.08970066773513
346.6796875,5.91991741326104e-05,71.9330426844776
351.5625,5.911074022047732e-05,91.12239869582595
356.4453125,5.868135237450827e-05,126.6351740533205
361.328125,5.703616484090875e-05,134.202414315945
366.2109375,5.579723324858154e-05,145.2367070245718
371.09375,5.454467159194278e-05,160.5456856474758
375.9765625,5.463235767240487e-05,0.8042099889897982
380.859375,5.402421571305696e-05,11.82238757789648
385.7421875,5.474153104074126e-05,153.0964021796992
390.625,5.71978257050446e-05,130.1714220856306
395.5078125,5.784286272933353e-05,119.8479187964062
400.390625,5.737314516574796e-05,110.5388558629022
405.2734375,5.749152942430852e-05,106.2187681811932
410.15625,5.860105331416813e-05,100.1553126678945
415.0390625,5.963636728615962e-05,68.24023499901266
419.921875,5.882493555260148e-05,6.756577335894292
424.8046875,5.759422114296094e-05,4.832712755853416
429.6875,5.625426339524146e-05,10.29288830508044
434.5703125,5.485823577010084e-05,19.34918249141029
439.453125,5.458428971526888e-05,28.90698070111262
444.3359375,5.47135044676739e-05,39.79534079360568
449.21875,5.48825116691113e-05,88.60827798354956
454.1015625,5.610027040125097e-05,171.752365826903
458.984375,5.553530093917346e-05,12.19209010255439
463.8671875,5.494092509553904e-05,15.24231199894882
468.75,5.496610311165145e-05,11.15045286303972
473.6328125,5.549513279716274e-05,9.833827121869394
478.515625,5.628103705008284e-05,18.30943776077671
483.3984375,5.473461091757209e-05,107.2258685831657
488.28125,5.319067917985814e-05,167.8890296067275
493.1640625,5.404310008617718e-05,5.644075156285192
498.046875,5.535218259474978e-05,20.42061589067969
502.9296875,5.612226073499712e-05,27.17104137515567
507.8125,5.652300519579119e-05,25.48580482895614
512.6953125,5.605554787652172e-05,24.81041637246679
517.578125,5.523320092615371e-05,141.9732357967364
522.4609375,5.349852073806853e-05,99.58116878533059
527.34375,5.256507104686244e-05,112.5724464030567
532.2265625,5.296409076451421e-05,127.1459957300077
537.109375,5.331611123792617e-05,128.9230732947763
541.9921875,5.74570466906513e-05,129.2444995859319
546.875,6.171314154888909e-05,101.3704587986375
551.7578125,6.241949228006618e-05,61.6289326963718
556.640625,6.111145479984426e-05,45.69580207986754
561.5234375,5.779882344121436e-05,25.59235191951024
566.40625,5.716607929071614e-05,22.57597863608872
571.2890625,5.643549426139018e-05,33.3315916642567
576.171875,5.549243906597239e-05,41.69544556361936
581.0546875,5.381414914487951e-05,45.57581064913255
585.9375,5.295264598593011e-05,49.58741691272674
590.8203125,5.325332631256733e-05,45.6712725664775
595.703125,5.35175746727908e-05,27.60046709662045
600.5859375,5.42673113814699e-05,177.9564054688251
605.46875,5.523149281401353e-05,152.1486307640172
610.3515625,5.521283295902242e-05,139.2577449876952
615.234375,5.503993884097958e-05,138.4765816679964
620.1171875,5.564643853793914e-05,144.6646968703531
625,5.582720430194096e-05,139.124654877599
629.8828125,5.626141120032526e-05,119.4861978332806
634.765625,5.616793147312639e-05,102.917112138018
639.6484375,5.638308927304252e-05,100.9273355239255
644.53125,5.631105872185854e-05,106.6587553618978
649.4140625,5.534799905384127e-05,112.0462175319837
654.296875,5.454807497712174e-05,117.3946313203124
659.1796875,5.461817294020871e-05,131.9474682203713
664.0625,5.536307228890675e-05,158.791653198786
668.9453125,5.55163108794457e-05,5.722112965058979
673.828125,5.466294447770579e-05,4.816834237852419
678.7109375,5.467917282934487e-05,1.273314103227304
683.59375,5.41163640363908e-05,179.0325910294483
688.4765625,5.384430395676456e-05,171.6361492981139
693.359375,5.463900871272557e-05,175.8130634305535
698.2421875,5.508427045503424e-05,15.12466434642173
703.125,5.562103397211875e-05,157.3828606593685
708.0078125,5.561411818012822e-05,109.5583050213469
712.890625,5.502051443869871e-05,96.32016556268559
717.7734375,5.477556225653135e-05,109.4534354589311
722.65625,5.565144235203122e-05,125.3313638918526
727.5390625,5.62706926645552e-05,132.660280344159
732.421875,5.712051685498635e-05,131.0960770961905
737.3046875,5.691215897397395e-05,130.053559623426
742.1875,5.545678304582145e-05,130.5546024498569
747.0703125,5.48486885676951e-05,130.7008164701297
751.953125,5.386897989951618e-05,131.9166569663699
756.8359375,5.479611727818935e-05,131.8980966880426
761.71875,5.571697008565607e-05,123.2398203984291
766.6015625,5.502432864373247e-05,103.8080515043621
771.484375,5.39689114402496e-05,51.73711285357376
776.3671875,5.305061993695194e-05,100.0652702027381
781.25,5.366915620393044e-05,77.61916920686055
786.1328125,5.436644100558794e-05,46.35401121232911
791.015625,5.533136206037327e-05,179.3107559043403
795.8984375,5.64076818970279e-05,139.5485628811715
800.78125,5.616149610009301e-05,107.6902735049747
805.6640625,5.575851212077865e-05,87.97995920095153
810.546875,5.461813116776943e-05,40.74948388252919
815.4296875,5.354547756094105e-05,170.0472025494537
820.3125,5.305127425609959e-05,164.0807826459744
825.1953125,5.262580209182609e-05,166.8331169712987
830.078125,5.360612056341733e-05,176.2466338670129
834.9609375,5.445868100977408e-05,25.05150849730438
839.84375,5.498653619319263e-05,74.23400973505105
844.7265625,5.525296697235417e-05,126.6040745704195
849.609375,5.623337259314543e-05,118.6202528351502
854.4921875,5.674488597674045e-05,102.9566616505923
859.375,5.687036623610084e-05,88.3935207799865
864.2578125,5.606957675921455e-05,62.04646464150818
869.140625,5.573432460583171e-05,58.48270493819768
874.0234375,5.464328600469216e-05,44.8225296834662
878.90625,5.357366153112408e-05,63.32138836079663
883.7890625,5.359673806490902e-05,33.84324379480223
888.671875,5.393855972046941e-05,175.6352376570397
893.5546875,5.393536449057146e-05,150.4123797656059
898.4375,5.393727907287306e-05,157.0935648811909
903.3203125,5.328189917469891e-05,166.9603596354404
908.203125,5.29731343920664e-05,7.560853505201496
913.0859375,5.326070528301557e-05,52.18420446430513
