#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 10:19:36.575
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential RMS Average
#Weight: 50 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Noise
#Frequency: 50 kHz
#Period: 20 us
#Amplitude: 5 mV
#Offset: 0 V

Frequency (Hz),Trace 1 (VHz),Phase (deg)
0,3.83354104376037e-05,180
4.8828125,3.831363794755378e-05,171.335029311973
9.765625,3.104793391437075e-05,174.8082800334421
14.6484375,2.272911366464497e-05,0.8937404064070876
19.53125,2.169813871435895e-05,28.11335610504484
24.4140625,2.237395567769692e-05,72.87703224097659
29.296875,2.092973751170422e-05,87.95708646593562
34.1796875,1.866427862968495e-05,101.2732898780681
39.0625,1.864490659403182e-05,111.1718489042596
43.9453125,1.965884265346985e-05,115.6070588005221
48.828125,2.046995662137685e-05,126.1014230496746
53.7109375,2.11402925339191e-05,135.0152914186307
58.59375,2.14435836924025e-05,112.1805642764106
63.4765625,2.025680336596533e-05,2.287044962842605
68.359375,1.939212570116144e-05,84.57015048645688
73.2421875,1.993533112928659e-05,37.70365805265081
78.125,1.989620627550872e-05,27.85581932883282
83.0078125,1.984337120752189e-05,24.59017997775708
87.890625,2.00528391737046e-05,13.8737910914633
92.7734375,2.069851014071974e-05,179.2824312915746
97.65625,2.072566698493396e-05,172.5559666383216
102.5390625,2.007922490160314e-05,15.58216411279721
107.421875,2.048610160927032e-05,44.00620302055595
112.3046875,2.102319678157224e-05,53.10534426961655
117.1875,2.116543925698935e-05,51.80239119970211
122.0703125,2.160487872167276e-05,53.58500126481518
126.953125,2.153459088929583e-05,59.31599061689377
131.8359375,2.022052773204166e-05,62.91409342556097
136.71875,1.93064329689258e-05,36.90212879602122
141.6015625,1.869974180087215e-05,28.64836937726694
146.484375,1.867067764150735e-05,29.45131801816468
151.3671875,1.880792504741471e-05,35.0294729488635
156.25,1.86285509879012e-05,10.22894407144979
161.1328125,1.829856637552371e-05,130.2899455382415
166.015625,1.849347972788889e-05,85.26653764276161
170.8984375,1.938513754214407e-05,37.76538643686335
175.78125,1.907469116756105e-05,18.78370147750866
180.6640625,1.856026212913268e-05,111.7613072541163
185.546875,1.800892486473353e-05,64.55262634959337
190.4296875,1.849416782085345e-05,18.02079501578104
195.3125,1.93942454263319e-05,15.68594968962581
200.1953125,1.926928603564738e-05,19.00869098046126
205.078125,1.913592418003575e-05,30.4916373174593
209.9609375,1.897153200966724e-05,44.62543439494917
214.84375,1.872717578987977e-05,47.14553383789116
219.7265625,1.853519470471892e-05,37.89069480281696
224.609375,1.971201191391244e-05,33.01186189137079
229.4921875,2.073693076433926e-05,36.27640417939123
234.375,2.15834610993261e-05,46.26386266180862
239.2578125,2.155953614399359e-05,73.06529817047205
244.140625,2.170878077148239e-05,95.89887063020602
249.0234375,2.117661269117905e-05,106.735121752399
253.90625,2.006347007032431e-05,115.6798551888014
