#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2_real
#Serial Number: SN:210321A1A021
#Date Time: 2021-05-20 12:52:19.042
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Exponential RMS Average
#Weight: 150 
#Window: Flat Top
#Channel: C1
#Range: 5.50527 V
#Offset: -0.00024545 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51558 V
#Offset: -6.09869e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-75.76263576739993,180
4.8828125,-75.14266092169075,7.052008003612569
9.765625,-74.81638510453426,29.81793557669894
14.6484375,-74.72331036333756,51.51894625307807
19.53125,-74.56701243964204,75.36584761091775
24.4140625,-74.23593260827995,101.1299930269815
29.296875,-74.50642654456557,125.2930055325779
34.1796875,-74.24151296672616,136.0640483133568
39.0625,-67.25875328000629,116.873004458675
43.9453125,-62.74440850266848,107.92166943442
48.828125,-62.10999823436542,104.2886882541205
53.7109375,-62.28578508738146,98.77286714887695
58.59375,-64.64263210300081,94.48081142032672
63.4765625,-71.78607122223779,47.77788956929562
68.359375,-74.64923484861816,73.08999336941837
73.2421875,-74.72596318724813,67.24177463203124
78.125,-75.22577203265563,44.83729204365632
83.0078125,-75.03431187520798,170.542602263348
87.890625,-69.91205918506937,105.7640571072647
92.7734375,-64.33593802573404,92.73344861537525
97.65625,-62.96321105550375,91.58582211208928
102.5390625,-62.89220910355338,89.21096347138912
107.421875,-64.22011726491841,82.28456811949506
112.3046875,-69.65444271252476,21.93678138966797
117.1875,-74.08154467564238,94.61774079852552
122.0703125,-74.39112863592132,94.96259016515501
126.953125,-74.55790790519029,88.65356403253848
131.8359375,-74.99390746053973,82.19120125055863
136.71875,-75.14796925103633,144.0675304710502
141.6015625,-75.05047403895833,7.071240283705544
146.484375,-75.06261611838912,12.31751152942335
151.3671875,-75.05807810288333,171.069882241651
156.25,-74.57695186664677,160.2246915154073
161.1328125,-74.36041764160345,130.8972684878326
166.015625,-74.50268460488969,96.12707391287381
170.8984375,-74.55931032696543,83.92162887753332
175.78125,-74.56692469631334,58.83020773450496
180.6640625,-74.90810468042028,38.03822973579229
185.546875,-74.75970535494227,28.72960901385116
190.4296875,-71.50608754059419,32.06256676847242
195.3125,-69.38054661767697,37.74425479988476
200.1953125,-69.28454382255876,42.03158441228587
205.078125,-69.70826146445175,49.72501512755856
209.9609375,-72.23332542659801,51.33380653993875
214.84375,-74.75874470656522,47.24277972131647
219.7265625,-74.93470598332058,47.84633727508828
224.609375,-75.11094012771589,53.18776142411006
229.4921875,-75.05613948474519,71.52683592305162
234.375,-74.49773617085509,88.40858394778026
239.2578125,-74.08188821593885,85.83930495393747
244.140625,-73.37531212247519,80.07869194716336
249.0234375,-73.01189895294544,73.86642179819356
253.90625,-73.05819876013987,63.77086461379677
258.7890625,-73.51219770270841,14.70606834864449
263.671875,-73.94921408108461,100.9031275215155
268.5546875,-74.07444861319826,99.19225811402576
273.4375,-74.255021817112,0.0002830706943953785
278.3203125,-74.39881782292005,76.06083670307352
283.203125,-74.68080194799593,77.02443114406815
288.0859375,-74.94218413181565,81.47569444569898
292.96875,-74.98945646226218,84.21333578751768
297.8515625,-75.12647745065829,71.71121781354975
302.734375,-75.14306238286393,58.10406585845873
307.6171875,-75.28466227553189,46.41094999770568
312.5,-75.43334703838326,31.27335898603587
317.3828125,-75.25218761404743,27.61179438073897
322.265625,-75.14645751310763,30.89804364805214
327.1484375,-74.83730652265022,80.83613295653022
332.03125,-74.77056813553916,106.0981735125371
336.9140625,-74.79155048096055,119.4973464936109
341.796875,-74.52332964034059,122.951458092262
346.6796875,-74.08616422252558,110.5120631294735
351.5625,-73.89728426375234,112.2743961598112
356.4453125,-74.29161708022426,117.4044600014899
361.328125,-74.78999950473442,116.7173540217432
366.2109375,-74.99631061268748,129.9438551875135
371.09375,-74.98333272314566,159.9200736906139
375.9765625,-74.99505870696437,7.852992633482367
380.859375,-74.88402261147795,62.9050577513891
385.7421875,-74.69172953832148,133.3752095859676
390.625,-73.81016037079463,57.81069323107047
395.5078125,-73.1704902364655,75.15852584677117
400.390625,-73.15586340388742,88.0599870241097
405.2734375,-73.23174047810228,90.74160565690782
410.15625,-74.16252160315804,94.32187913684618
415.0390625,-75.44568378236951,156.5608562344516
419.921875,-75.89426136204304,107.3897231080903
424.8046875,-76.1025912825036,107.2625635707524
429.6875,-75.77302414981398,88.49286395832128
434.5703125,-75.15692839747476,64.56443966405304
439.453125,-74.90281790365307,42.24539040285296
444.3359375,-74.61624640960143,37.6760820576504
449.21875,-74.52294861911992,149.5575545268015
454.1015625,-74.54076511051161,9.965930093955853
458.984375,-74.50872521811179,6.50456222818846
463.8671875,-74.33773343993265,11.61831915576706
468.75,-74.3964820534478,14.91770196111665
473.6328125,-74.7315556436144,15.702089808146
478.515625,-74.77760924887714,4.447736069829709
483.3984375,-74.8246950424824,159.3050045884587
488.28125,-74.79848540123142,135.2730202316979
493.1640625,-74.5575444538453,76.66895970680102
498.046875,-74.17349687321109,47.9682962065022
502.9296875,-73.99657962525673,54.07218190862234
507.8125,-74.22468093494355,68.63620910260843
512.6953125,-74.91489537317642,131.2763677731763
517.578125,-75.36694668920114,160.0385811391194
522.4609375,-75.36637067717612,176.6090624852804
527.34375,-75.17059822355471,20.71290223733772
532.2265625,-75.01574337745919,41.67145336520681
537.109375,-74.69215302679542,74.04903865159719
541.9921875,-74.07379447938911,43.0201178861195
546.875,-73.74600529746901,48.50926819096113
551.7578125,-73.86507846593665,20.49638229158765
556.640625,-74.34841856686299,10.50427007992108
561.5234375,-74.89301238153199,12.11970674624214
566.40625,-74.83978804249661,12.07865105353696
571.2890625,-74.681923138198,0.3020650297127205
576.171875,-74.57835638261102,154.7526746610411
581.0546875,-74.5093467242752,98.64595068813979
585.9375,-74.40596344239515,57.68541782888529
590.8203125,-74.42485734031055,34.10096989636892
595.703125,-74.60602435097553,8.322368404793739
600.5859375,-74.59186474094952,167.5320081525945
605.46875,-74.43097909358808,163.2295138654377
610.3515625,-74.68808251864282,177.2172017493617
615.234375,-75.21187180268497,17.78850944233246
620.1171875,-75.37367623326102,40.08933979712695
625,-75.4030958369695,122.5309461919665
629.8828125,-75.59591064424006,40.98009661712801
634.765625,-75.6741669993323,86.37832970570973
639.6484375,-75.6099238961973,101.0870695306053
644.53125,-75.57087451277668,118.9552766269791
649.4140625,-75.68045276340629,134.5184560064549
654.296875,-75.25830977917552,123.9256925877984
659.1796875,-74.95977933845202,95.78462621334484
664.0625,-74.74230333500799,84.14859925074681
668.9453125,-74.76639179556672,79.31252600587574
673.828125,-75.1754784197369,81.49138266960226
678.7109375,-75.42287422630373,76.21731807343082
683.59375,-75.2524456725269,71.12819689857541
688.4765625,-74.90601784770459,76.85064287451253
693.359375,-74.67474263363408,89.11263834821365
698.2421875,-74.63849008711395,104.0016537516314
703.125,-74.62672524679873,134.6040587163754
708.0078125,-74.77925567510317,164.5931389487175
712.890625,-75.09529006419238,152.7086678609739
717.7734375,-75.21291227842806,144.817973543688
722.65625,-75.26055039781465,143.6695651420144
727.5390625,-75.27203207876323,147.5084478768991
732.421875,-75.35779317968084,170.5538487741597
737.3046875,-75.43678321563597,7.99873735672965
742.1875,-75.54587479084671,13.868665075623
747.0703125,-75.55022011510511,9.831816430578288
751.953125,-75.34248619802698,0.07999929520037494
756.8359375,-74.97166378604938,174.0705131404426
761.71875,-74.7385448282626,174.5574560522578
766.6015625,-74.87134126047138,16.60480374000187
771.484375,-74.7951156802043,43.49645519310153
776.3671875,-74.8868132676416,45.15469353055883
781.25,-75.16828889366801,42.46362250935827
786.1328125,-75.16854722476074,41.45049052160848
791.015625,-74.95679001249587,49.31509764174218
795.8984375,-75.04100710147742,65.72977287273349
800.78125,-75.27926581133376,84.07417896885443
805.6640625,-75.13168683623374,87.13380735456794
810.546875,-75.08763960179709,83.37685990002885
815.4296875,-75.30332527540273,67.95286719753048
820.3125,-75.31164273206933,26.51798751890468
825.1953125,-75.19116032251026,0.3655782849321113
830.078125,-75.20974571081355,152.0292399707032
834.9609375,-75.39933271487709,155.9045766572689
839.84375,-75.57808809370431,2.751409000004331
844.7265625,-75.52918755284742,11.14454676641566
849.609375,-75.51273846254985,10.32529901143112
854.4921875,-75.59114476853756,179.1132602738335
859.375,-75.4384596469601,173.2408613211588
864.2578125,-75.28801496253338,149.2558075559393
869.140625,-75.23559207213918,109.6787117137852
874.0234375,-75.38138585426033,82.32962826913797
878.90625,-75.45751335293301,60.95356553027327
883.7890625,-75.44090227925329,7.341647613320371
888.671875,-75.51541634119418,58.01862561298455
893.5546875,-75.64990560978194,53.05375781070247
898.4375,-75.52335085742845,41.49317311229146
903.3203125,-75.57036729522639,37.18608955829537
908.203125,-75.57158919810848,32.68291376364814
913.0859375,-75.2943922162989,6.017442001656047
917.96875,-74.85881394547168,166.8983617148642
